Time, roll, rollrate, rollDesired, rollError, pitch, pitchRate, pitchDesired, pitchError, yaw, yawRate, yawDesired, yawError, throttle
9.834907,-0.236142288614,0.365853349513,0,0.236142288614,1.14483353223,-0.853657815531,0,-1.14483353223,-11.6279403799,1.2804867233,-0.0,11.6279403799,1.0
9.931825,-0.318539189742,0.243902233009,0,0.318539189742,1.05717170848,-0.853657815531,0,-1.05717170848,-11.7555096338,1.52438895631,-0.0,11.7555096338,1.0
10.028846,-0.336955869019,0.365853349513,0,0.336955869019,1.11683660886,-0.792682257279,0,-1.11683660886,-11.8835082844,1.2804867233,-0.0,11.8835082844,1.0
10.127335,-0.303534502023,0.426828907765,0,0.303534502023,1.14550236312,-0.670731140774,0,-1.14550236312,-12.0122496938,1.2804867233,-0.0,12.0122496938,1.0
10.225829,-0.288748604005,0.243902233009,0,0.288748604005,1.12591444087,-0.853657815531,0,-1.12591444087,-12.1411689889,1.34146228155,-0.0,12.1411689889,1.0
10.324306,-0.28241256307,0.243902233009,0,0.28241256307,1.16512897947,-1.03658449029,0,-1.16512897947,-12.2731118757,1.46341339805,-0.0,12.2731118757,1.0
10.423007,-0.27183333974,0.243902233009,0,0.27183333974,1.16154431259,-0.609755582522,0,-1.16154431259,-12.3992067449,1.21951116504,-0.0,12.3992067449,1.0
10.521549,-0.256750236089,0.487804466018,0,0.256750236089,1.16418420556,-0.670731140774,0,-1.16418420556,-12.52696645,1.34146228155,-0.0,12.52696645,1.0
10.619549,-0.250607986904,0.365853349513,0,0.250607986904,1.07349011957,-0.853657815531,0,-1.07349011957,-12.6528492727,1.34146228155,-0.0,12.6528492727,1.0
10.719122,-0.245592168173,0.487804466018,0,0.245592168173,1.19774421611,-0.853657815531,0,-1.19774421611,-12.7808030452,1.15853560679,-0.0,12.7808030452,1.0
10.818238,-0.264835617986,0.54878002427,0,0.264835617986,1.12322502713,-1.09756004854,0,-1.12322502713,-12.9169232603,1.46341339805,-0.0,12.9169232603,1.0
10.91695,-0.306671904194,0.426828907765,0,0.306671904194,1.12232013516,-0.975608932035,0,-1.12232013516,-13.0465502111,1.21951116504,-0.0,13.0465502111,1.0
11.01136,-0.369964220838,0.304877791261,0,0.369964220838,1.1483735436,-0.792682257279,0,-1.1483735436,-13.1723449975,1.21951116504,-0.0,13.1723449975,1.0
11.109489,-0.383869472063,0.426828907765,0,0.383869472063,1.18177522515,-0.731706699026,0,-1.18177522515,-13.3046822308,1.34146228155,-0.0,13.3046822308,1.0
11.208126,-0.381562294518,0.182926674757,0,0.381562294518,1.16967542531,-0.792682257279,0,-1.16967542531,-13.4311150978,1.15853560679,-0.0,13.4311150978,1.0
11.305227,-0.300524468499,0.365853349513,0,0.300524468499,1.1049030826,-0.792682257279,0,-1.1049030826,-13.5610949065,1.46341339805,-0.0,13.5610949065,1.0
11.403338,-0.331439346527,0.243902233009,0,0.331439346527,1.11651530255,-0.914633373783,0,-1.11651530255,-13.6924278154,1.2804867233,-0.0,13.6924278154,1.0
11.501529,-0.280634917246,0.426828907765,0,0.280634917246,1.14368551772,-0.54878002427,0,-1.14368551772,-13.8227204785,1.2804867233,-0.0,13.8227204785,1.0
11.598506,-0.367847567049,0.487804466018,0,0.367847567049,1.07515989359,-0.853657815531,0,-1.07515989359,-13.954341396,1.4024378398,-0.0,13.954341396,1.0
11.696756,-0.334618466814,0.182926674757,0,0.334618466814,1.11770626731,-0.914633373783,0,-1.11770626731,-14.0810719304,1.15853560679,-0.0,14.0810719304,1.2
11.795184,-0.31305408159,0.304877791261,0,0.31305408159,1.07463856925,-0.792682257279,0,-1.07463856925,-14.2083233541,1.2804867233,-0.0,14.2083233541,1.2
11.892458,-0.320462506486,0.243902233009,0,0.320462506486,1.1583791341,-0.914633373783,0,-1.1583791341,-14.3369500837,1.21951116504,-0.0,14.3369500837,1.2
11.990058,-0.336678064825,0.670731140774,0,0.336678064825,1.2083712286,-0.792682257279,0,-1.2083712286,-14.4536035325,1.21951116504,-0.0,14.4536035325,1.2
12.087912,-0.356293546707,0.487804466018,0,0.356293546707,1.19290440468,-0.792682257279,0,-1.19290440468,-14.581416044,1.46341339805,-0.0,14.581416044,1.2
12.185815,-0.342684849309,0.182926674757,0,0.342684849309,1.22636419685,-0.975608932035,0,-1.22636419685,-14.7298223241,1.4024378398,-0.0,14.7298223241,1.2
12.283271,-0.255857802026,0.365853349513,0,0.255857802026,1.16498495486,-0.731706699026,0,-1.16498495486,-14.8537773372,1.03658449029,-0.0,14.8537773372,1.2
12.37999,-0.241986554946,0.243902233009,0,0.241986554946,1.22253103132,-0.670731140774,0,-1.22253103132,-14.979595022,1.34146228155,-0.0,14.979595022,1.2
12.478029,-0.239851356939,0.304877791261,0,0.239851356939,1.21289601168,-0.853657815531,0,-1.21289601168,-15.1252781476,1.4024378398,-0.0,15.1252781476,1.2
12.576323,-0.217053377728,0.487804466018,0,0.217053377728,1.21391474964,-0.792682257279,0,-1.21391474964,-15.2459496283,1.2804867233,-0.0,15.2459496283,1.2
12.67312,-0.292870816602,0.365853349513,0,0.292870816602,1.21173667369,-0.609755582522,0,-1.21173667369,-15.3775027573,1.4024378398,-0.0,15.3775027573,1.2
12.770763,-0.360794830359,0.54878002427,0,0.360794830359,1.13176042551,-0.914633373783,0,-1.13176042551,-15.5111263391,1.2804867233,-0.0,15.5111263391,1.2
12.869213,-0.277749662222,0.365853349513,0,0.277749662222,1.12571117751,-0.914633373783,0,-1.12571117751,-15.6304421388,1.2804867233,-0.0,15.6304421388,1.2
12.95967,-0.279767180567,0.365853349513,0,0.279767180567,1.15566337545,-0.853657815531,0,-1.15566337545,-15.7488259263,1.52438895631,-0.0,15.7488259263,1.2
13.053458,-0.247417122949,0.365853349513,0,0.247417122949,1.18095168492,-0.975608932035,0,-1.18095168492,-15.8758979508,1.34146228155,-0.0,15.8758979508,1.2
13.147142,-0.262465497485,0.121951116504,0,0.262465497485,1.1437151525,-0.975608932035,0,-1.1437151525,-16.0015250132,1.4024378398,-0.0,16.0015250132,1.2
13.241955,-0.24461669208,0.426828907765,0,0.24461669208,1.13762234871,-0.670731140774,0,-1.13762234871,-16.1408848039,1.21951116504,-0.0,16.1408848039,1.2
13.337998,-0.228515664669,0.609755582522,0,0.228515664669,1.21355014055,-0.792682257279,0,-1.21355014055,-16.268384127,1.03658449029,-0.0,16.268384127,1.2
13.39892,-0.231355103526,0.304877791261,0,0.231355103526,1.17245161531,-0.853657815531,0,-1.17245161531,-16.3530812733,1.4024378398,-0.0,16.3530812733,1.2
13.490015,-0.229703677545,0.609755582522,0,0.229703677545,1.11215192202,-0.792682257279,0,-1.11215192202,-16.4738392259,1.21951116504,-0.0,16.4738392259,1.2
13.586313,-0.216033775274,0.365853349513,0,0.216033775274,1.06373863772,-0.853657815531,0,-1.06373863772,-16.6073743152,1.2804867233,-0.0,16.6073743152,1.2
13.682122,-0.271449709497,0.243902233009,0,0.271449709497,1.09959806716,-0.853657815531,0,-1.09959806716,-16.7312679901,1.21951116504,-0.0,16.7312679901,1.2
13.779173,-0.357570383785,0.182926674757,0,0.357570383785,1.11383701094,-0.975608932035,0,-1.11383701094,-16.868051694,1.4024378398,-0.0,16.868051694,1.2
13.876876,-0.351650940106,0.365853349513,0,0.351650940106,1.14332754917,-1.03658449029,0,-1.14332754917,-16.9918759287,1.15853560679,-0.0,16.9918759287,1.2
13.974658,-0.355724498382,0.365853349513,0,0.355724498382,1.13562716646,-0.853657815531,0,-1.13562716646,-17.1218783925,1.34146228155,-0.0,17.1218783925,1.2
